bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
65.0,590.0,590.0,0.0,100.0,0.0,38356.0,37759.0,597.0,64.65914344914978,97.54901960784314,32.889876158693355,63.24790619765494
66.0,590.0,590.0,0.0,100.0,0.0,38946.0,38349.0,597.0,65.66946932205421,97.54901960784314,31.879550285788923,64.23618090452261
67.0,590.0,590.0,0.0,100.0,0.0,39536.0,38939.0,597.0,66.67979519495864,97.54901960784314,30.869224412884492,65.22445561139028
68.0,590.0,589.0,1.0,99.83050847457628,0.16949152542372303,40126.0,39528.0,598.0,67.68840865112934,97.7124183006536,30.02400964952426,66.10033444816054
69.0,590.0,590.0,0.0,100.0,0.0,40716.0,40118.0,598.0,68.69873452403377,97.7124183006536,29.01368377661983,67.08695652173913
70.0,590.0,589.0,1.0,99.83050847457628,0.16949152542372303,41306.0,40707.0,599.0,69.70734798020446,97.87581699346406,28.168469013259596,67.95826377295492
71.0,590.0,590.0,0.0,100.0,0.0,41896.0,41297.0,599.0,70.71767385310889,97.87581699346406,27.158143140355165,68.9432387312187
72.0,590.0,590.0,0.0,100.0,0.0,42486.0,41887.0,599.0,71.72799972601332,97.87581699346406,26.147817267450733,69.92821368948248
73.0,591.0,589.0,2.0,99.66159052453469,0.33840947546531197,43077.0,42476.0,601.0,72.73661318218402,98.20261437908496,25.466001196900947,70.67554076539102
74.0,590.0,589.0,1.0,99.83050847457628,0.16949152542372303,43667.0,43065.0,602.0,73.74522663835471,98.36601307189542,24.620786433540715,71.53654485049834
75.0,590.0,590.0,0.0,100.0,0.0,44257.0,43655.0,602.0,74.75555251125914,98.36601307189542,23.610460560636284,72.51661129568106
76.0,590.0,590.0,0.0,100.0,0.0,44847.0,44245.0,602.0,75.76587838416357,98.36601307189542,22.600134687731853,73.49667774086379
77.0,590.0,590.0,0.0,100.0,0.0,45437.0,44835.0,602.0,76.776204257068,98.36601307189542,21.58980881482742,74.47674418604652
78.0,590.0,590.0,0.0,100.0,0.0,46027.0,45425.0,602.0,77.78653012997243,98.36601307189542,20.57948294192299,75.45681063122923
79.0,590.0,590.0,0.0,100.0,0.0,46617.0,46015.0,602.0,78.79685600287686,98.36601307189542,19.56915706901856,76.43687707641196
80.0,590.0,587.0,3.0,99.49152542372882,0.5084745762711833,47207.0,46602.0,605.0,79.80204462558008,98.85620915032679,19.05416452474671,77.02809917355371
81.0,590.0,588.0,2.0,99.66101694915254,0.3389830508474603,47797.0,47190.0,607.0,80.80894566501703,99.18300653594771,18.374060870930677,77.74299835255354
82.0,590.0,590.0,0.0,100.0,0.0,48387.0,47780.0,607.0,81.81927153792147,99.18300653594771,17.363734998026246,78.71499176276771
83.0,590.0,590.0,0.0,100.0,0.0,48977.0,48370.0,607.0,82.8295974108259,99.18300653594771,16.353409125121814,79.68698517298188
84.0,591.0,591.0,0.0,100.0,0.0,49568.0,48961.0,607.0,83.84163570046407,99.18300653594771,15.341370835483644,80.66062602965404
85.0,590.0,589.0,1.0,99.83050847457628,0.16949152542372303,50158.0,49550.0,608.0,84.85024915663476,99.34640522875817,14.496156072123412,81.4967105263158
86.0,590.0,590.0,0.0,100.0,0.0,50748.0,50140.0,608.0,85.86057502953919,99.34640522875817,13.48583019921898,82.46710526315789
87.0,590.0,589.0,1.0,99.83050847457628,0.16949152542372303,51338.0,50729.0,609.0,86.86918848570988,99.50980392156863,12.640615435858749,83.29885057471265
88.0,590.0,589.0,1.0,99.83050847457628,0.16949152542372303,51928.0,51318.0,610.0,87.87780194188058,99.67320261437908,11.795400672498502,84.12786885245902
89.0,590.0,590.0,0.0,100.0,0.0,52518.0,51908.0,610.0,88.88812781478501,99.67320261437908,10.78507479959407,85.09508196721312
90.0,590.0,590.0,0.0,100.0,0.0,53108.0,52498.0,610.0,89.89845368768944,99.67320261437908,9.77474892668964,86.0622950819672
91.0,590.0,590.0,0.0,100.0,0.0,53698.0,53088.0,610.0,90.90877956059387,99.67320261437908,8.764423053785208,87.02950819672131
92.0,590.0,590.0,0.0,100.0,0.0,54288.0,53678.0,610.0,91.9191054334983,99.67320261437908,7.754097180880777,87.99672131147541
93.0,590.0,590.0,0.0,100.0,0.0,54878.0,54268.0,610.0,92.92943130640272,99.67320261437908,6.74377130797636,88.96393442622951
94.0,590.0,589.0,1.0,99.83050847457628,0.16949152542372303,55468.0,54857.0,611.0,93.93804476257343,99.83660130718954,5.898556544616113,89.7823240589198
95.0,591.0,591.0,0.0,100.0,0.0,56059.0,55448.0,611.0,94.95008305221158,99.83660130718954,4.8865182549779576,90.74959083469722
96.0,590.0,590.0,0.0,100.0,0.0,56649.0,56038.0,611.0,95.96040892511601,99.83660130718954,3.8761923820735262,91.7152209492635
97.0,590.0,589.0,1.0,99.83050847457628,0.16949152542372303,57239.0,56627.0,612.0,96.9690223812867,100.0,3.030977618713294,92.52777777777777
98.0,590.0,590.0,0.0,100.0,0.0,57829.0,57217.0,612.0,97.97934825419114,100.0,2.0206517458088626,93.49183006535948
99.0,590.0,590.0,0.0,100.0,0.0,58419.0,57807.0,612.0,98.98967412709557,100.0,1.0103258729044313,94.45588235294117
100.0,590.0,590.0,0.0,100.0,0.0,59009.0,58397.0,612.0,100.0,100.0,0.0,95.41993464052288
