,Model,NVARS,Parameters,Trn,Tst,OOT
170,LGBM,10,min_split_gain=20,0.75931677,0.716101695,0.30726257
171,LGBM,10,min_split_gain=20,0.740983607,0.759259259,0.374301676
172,LGBM,10,min_split_gain=20,0.734693878,0.748971193,0.413407821
173,LGBM,10,min_split_gain=20,0.760262726,0.704797048,0.558659218
174,LGBM,10,min_split_gain=20,0.782270607,0.717299578,0.43575419
175,LGBM,10,min_split_gain=20,0.7744,0.674509804,0.48603352
176,LGBM,10,min_split_gain=20,0.765886288,0.712765957,0.43575419
177,LGBM,10,min_split_gain=20,0.764991896,0.760456274,0.43575419
178,LGBM,10,min_split_gain=20,0.781456954,0.721014493,0.368715084
179,LGBM,10,min_split_gain=20,0.757575758,0.76284585,0.424581006
180,LGBM,10,min_split_gain=10,0.804560261,0.714285714,0.424581006
181,LGBM,10,min_split_gain=10,0.782324059,0.739776952,0.430167598
182,LGBM,10,min_split_gain=10,0.800637959,0.723320158,0.446927374
183,LGBM,10,min_split_gain=10,0.789303079,0.775665399,0.48603352
184,LGBM,10,min_split_gain=10,0.794453507,0.745318352,0.43575419
185,LGBM,10,min_split_gain=10,0.796923077,0.791304348,0.469273743
186,LGBM,10,min_split_gain=10,0.796825397,0.692,0.43575419
187,LGBM,10,min_split_gain=10,0.8208,0.756862745,0.452513966
188,LGBM,10,min_split_gain=10,0.785150079,0.704453441,0.452513966
189,LGBM,10,min_split_gain=10,0.806239737,0.726937269,0.407821229
190,LGBM,10,"min_child_samples=500, min_split_gain=1",0.83902439,0.80754717,0.363128492
191,LGBM,10,"min_child_samples=500, min_split_gain=1",0.864238411,0.746376812,0.474860335
192,LGBM,10,"min_child_samples=500, min_split_gain=1",0.848287113,0.797752809,0.497206704
193,LGBM,10,"min_child_samples=500, min_split_gain=1",0.851729819,0.776556777,0.452513966
194,LGBM,10,"min_child_samples=500, min_split_gain=1",0.858319605,0.761904762,0.469273743
195,LGBM,10,"min_child_samples=500, min_split_gain=1",0.850722311,0.805447471,0.446927374
196,LGBM,10,"min_child_samples=500, min_split_gain=1",0.83518225,0.807228916,0.502793296
197,LGBM,10,"min_child_samples=500, min_split_gain=1",0.849918434,0.764044944,0.474860335
198,LGBM,10,"min_child_samples=500, min_split_gain=1",0.851851852,0.795366795,0.48603352
199,LGBM,10,"min_child_samples=500, min_split_gain=1",0.855946399,0.795053004,0.446927374
200,LGBM,10,"min_child_samples=1000, min_split_gain=1",0.823529412,0.764912281,0.458100559
201,LGBM,10,"min_child_samples=1000, min_split_gain=1",0.834920635,0.78,0.441340782
202,LGBM,10,"min_child_samples=1000, min_split_gain=1",0.825347759,0.798283262,0.446927374
203,LGBM,10,"min_child_samples=1000, min_split_gain=1",0.821138211,0.762264151,0.452513966
204,LGBM,10,"min_child_samples=1000, min_split_gain=1",0.821603928,0.784386617,0.441340782
205,LGBM,10,"min_child_samples=1000, min_split_gain=1",0.828756058,0.785440613,0.43575419
