,variables
365,card_Merch_des_zip_actual/avg_30
366,card_Merch_des_zip_std_30
367,card_Merch_des_zip_total_30
368,card_Merch_des_zip_max_30
369,card_Merch_des_zip_avg_30
370,card_Merch_des_zip_count_30
371,card_Merch_des_zip_variability_std_14
372,card_Merch_des_zip_variability_cum_14
373,card_Merch_des_zip_variability_max_14
374,card_Merch_des_zip_variability_min_14
375,card_Merch_des_zip_variability_avg_14
376,card_Merch_des_zip_actual/total_14
377,card_Merch_des_zip_actual/max_14
378,card_Merch_des_zip_actual/avg_14
379,card_Merch_des_zip_std_14
380,card_Merch_des_zip_total_14
381,card_Merch_des_zip_max_14
382,card_Merch_des_zip_avg_14
383,card_Merch_des_zip_count_14
384,card_Merch_des_zip_variability_std_7
385,card_Merch_des_zip_variability_cum_7
386,card_Merch_des_zip_variability_max_7
387,card_Merch_des_zip_variability_min_7
388,card_Merch_des_zip_variability_avg_7
389,card_Merch_des_zip_actual/total_7
390,card_Merch_des_zip_actual/max_7
391,card_Merch_des_zip_actual/avg_7
392,card_Merch_des_zip_std_7
393,card_Merch_des_zip_total_7
394,card_Merch_des_zip_max_7
395,card_Merch_des_zip_avg_7
396,card_Merch_des_zip_count_7
397,card_Merch_des_zip_variability_std_3
398,card_Merch_des_zip_variability_cum_3
399,card_Merch_des_zip_variability_max_3
400,card_Merch_des_zip_variability_min_3
401,card_Merch_des_zip_variability_avg_3
402,card_Merch_des_zip_actual/total_3
403,card_Merch_des_zip_actual/max_3
404,card_Merch_des_zip_actual/avg_3
405,card_Merch_des_zip_std_3
406,card_Merch_des_zip_total_3
407,card_Merch_des_zip_max_3
408,card_Merch_des_zip_avg_3
409,card_Merch_des_zip_count_3
410,card_Merch_des_zip_variability_std_1
411,card_Merch_des_zip_variability_cum_1
412,card_Merch_des_zip_variability_max_1
413,card_Merch_des_zip_variability_min_1
414,card_Merch_des_zip_variability_avg_1
415,card_Merch_des_zip_actual/total_1
416,card_Merch_des_zip_actual/max_1
417,card_Merch_des_zip_actual/avg_1
418,card_Merch_des_zip_std_1
419,card_Merch_des_zip_total_1
420,card_Merch_des_zip_max_1
421,card_Merch_des_zip_avg_1
422,card_Merch_des_zip_count_1
423,card_Merch_des_zip_variability_std_0
424,card_Merch_des_zip_variability_cum_0
425,card_Merch_des_zip_variability_max_0
426,card_Merch_des_zip_variability_min_0
